Toode,Kogus,Hind,Summa
    CH-S12 FTXLA-NG ,67,286.05,19165.58
    CH-S18 FTXLA-NG ,16,442.26,7076.23
    CH-S24 FTXLA-NG ,16,526.20,8419.20
    CH-M10K7S Portable Conditioner ,4,197.10,788.40
    CH- HP 8.0 SINK2 Air to Water (I)+(O) ,2,1924.18,3848.36
    CH-FFC035K2 ,1,148.50,148.50
    CH- HP 10 SINK2 Air to Water (I)+(O) ,3,2021.61,6064.84
    CH- HP 14 SINM2 Air to Water (I)+(O) ,2,2277.00,4554.00
    C&H CH-D008WDP6-20LD Portable Dehumidifier ,1,143.44,143.44
    C&H CH-D016WDN6-40LD Portable Dehumidifier ,1,179.10,179.10
    C&H CH-D008WD5-20LD  Mobile Dehumidifier ,2,116.59,233.18
    C&H CH-D009WD7-22LD Mobile Dehumidifier ,2,118.37,236.74
    C&H CH-D011WD7-26LD Mobile Dehumidifier ,2,121.93,243.86
    CHML-U18RK2 outdoor unit ,3,410.93,1232.80
    CHML-U21RK3 outdoor unit ,4,544.50,2178.00
    CHML-U24RK3 outdoor unit ,2,589.60,1179.20
    CHML-U28RK4 outdoor unit ,2,639.00,1278.00
    CHML-IW07AARK indoor unit ,15,92.54,1388.10
    CHML-IW09AARK ( Wi-Fi) indoor unit ,18,97.53,1755.60
    CHML-IW18AARK ( Wi-Fi) indoor unit ,3,129.53,388.60
    CHV-5S335SNMX2 outdoor unit ,1,2605.07,2605.07
    CH-IF100RK indoor unit ,1,340.73,340.73
    CH-IDS050PRK Duct Indoor unit ,1,199.60,199.60
    Unitherm WiFi module v1.0 ,1,170.68,170.68
    TF06 ,1,0.09,0.09
    CH-IC100RK Indoor unit ,1,286.00,286.00
    CH-IU100RM outdoor ,1,868.56,868.56
    CH CF92 Wired controller ,1,101.79,101.79
    C&H HP 10 SINK3 Air to Water (I)(O) ,4,2350.00,9400.00
    C&H HP 16 SINM2 Air to Water (I+O) ,6,2527.83,15167.00
    CH-HP 12 SINM2 Air to Water (I)+(O) ,3,2490.00,7470.00
    C&H HP60CMFNM Air to Water ,1,6148.35,6148.35
    CHML-U18NK2 Outdoor Unit ,1,499.00,499.00
    CH-IU36NM4 Outdoor unit ,1,1046.00,1046.00
    CHML-IW07DNK Indoor Unit (Premium Inverter) ,2,121.00,242.00
    CHML-IW09DNK Indoor Unit (Premium Inverter) ,3,125.00,375.00
    CHML-U14NK2 Outdoor Unit ,1,489.00,489.00
    CHML-U21NK3 Outdoor Unit ,1,659.00,659.00
    C&H S12FTXHV-B VIP long distance WI-FI ,1,585.00,585.00
    CH-IC36NK4 Cassette indoor unit ,1,407.00,407.00
    CHML-IW09VNK Indoor Unit VIP ,2,233.00,466.00
    TC04 frame ,1,0.08,0.08
    C&H S12FTXLA WI-FI Arctic Soojuspump ,1,415.00,415.00
    C&H S18FTXLA WI-FI Arctic Soojuspump ,1,585.00,585.00
    C&H S24FTXLA  WI-FI Arctic Soojuspump ,2,705.00,1410.00
    CH-S24FTXTB2S-W ICY New Long Distance WI-FI Heat Pump ,1,790.00,790.00
    CH-S24FTXAM2S-BL ,1,795.00,795.00
    CH-S18FTXAM2S-GD ,1,750.50,750.50
    CH-S18FTXN-E2wifi ,1,495.00,495.00
    CH-S12 FTXLA-NG ,5,408.00,2040.00
    CH-S09FVX WI-FI ,1,351.67,351.67
    CH- S12FVX WI-FI ,1,427.50,427.50
    C&H S09FTXLA WI-FI Arctic Soojuspump ,2,304.46,608.92
    C&H S12FTXLA WI-FI Arctic Soojuspump ,2,331.67,663.34
    C&H S09FTXHV-B VIP long distance WI-FI ,1,705.00,705.00
    CH-S12FTXTB2S-W ICY New Long Distance WI-FI Heat Pump ,1,531.00,531.00
    CH-S18FTXTB2S-W ICY New Long Distance WI-FI Heat Pump ,2,466.23,932.47
    CH-S24FTXTB2S-W ICY New Long Distance WI-FI Heat Pump ,1,645.05,645.05
    CH-S18FTXAM2S-BL ,1,750.50,750.50
    CH-S12FTXAM2S-GD ,1,636.50,636.50
    CH-S18FTXAM2S-SC ,1,717.25,717.25
    CH-S24FTXAM2S-SC ,1,755.25,755.25
    CH-S09 FTXLA-NG ,1,337.25,337.25
    CH-S12 FTXLA-NG ,6,401.17,2407.00
    CH-S18 FTXLA-NG ,1,546.25,546.25
    CH-S24 FTXLA-NG ,1,660.25,660.25
    Konditsioneeride  paigaldus ,1,250.00,250.00
    C&H CH-D016WDP6 Portable Dehumidifier ,2,155.00,310.00
    CH-S12FTXTB2S-W ICY New Long Distance WI-FI Heat Pump ,1,442.00,442.00
    CH-M12K7S Portable Conditioner ,8,254.17,2033.36
    CH-M10K7S Portable Conditioner ,5,216.67,1083.35
    CHML-U18NK2 Outdoor Unit ,1,359.57,359.57
    CH-C18NK2 Indoor Unit ,7,133.60,935.17
    CH-C24NK2  Indoor Unit ,2,192.84,385.69
    CH-U24NK2 Outdoor Unit ,2,306.64,613.29
    CH-IC12NK4 Cassette indoor unit ,5,182.98,914.88
    CH-IU12NK4 outdoor unit ,6,263.61,1581.67
    C&H CH-HRV5K ,2,480.77,961.54
    CHML-U28NK4 Outdoor Unit ,1,545.41,545.41
    CHML-U14NK2 Outdoor Unit ,1,351.49,351.49
    CH-S09FTXE WI-FI Alpha Inverter ,15,213.48,3202.17
    CH-S12FTXE WI-FI Alpha Inverter ,10,224.06,2240.63
    CH-S18FTXE WI-FI Alpha Inverter ,3,295.17,885.50
    CH-S09FTXTB2S-W ICY New Long Distance WI-FI Heat Pump ,2,425.43,850.86
    C&H S12FTXHV-B VIP long distance WI-FI ,1,677.29,677.29
    TC04 frame ,2,0.08,0.16
    C&H CH-U18NK2 Outdoor Unit ,7,222.71,1558.99
    C&H S09FTXLA WI-FI Arctic Soojuspump ,25,256.77,6419.33
    TC03 frame IC18NK4- IC12NK4 ,12,0.08,0.99
    CH-S12FTXTB2S-W ICY New Long Distance WI-FI Heat Pump ,18,420.71,7572.70
    CH-S18FTXTB2S-W ICY New Long Distance WI-FI Heat Pump ,22,440.26,9685.71
    CH-S24FTXTB2S-W ICY New Long Distance WI-FI Heat Pump ,34,568.33,19323.12
    C&H S18FTXHV-B VIP long distance WI-FI ,3,699.16,2097.48
    C&H S07XN7 PRIMA ,5,128.47,642.37
    C&H S09XN7 PRIMA ,35,142.21,4977.38
    C&H S12XN7 PRIMA ,15,164.03,2460.41
    CH-S09FTXAM2S-BL ,1,494.55,494.55
    CH-S12FTXAM2S-BL ,2,499.67,999.34
    CH-S12FTXAM2S-GD ,6,504.00,3023.98
